day	hour	count
0	0	7637
0	1	5947
0	2	4747
0	3	2710
0	4	734
0	5	587
0	6	925
0	7	2015
0	8	5235
0	9	10499
0	10	17856
0	11	22435
0	12	26936
0	13	28484
0	14	27283
0	15	27120
0	16	27598
0	17	25180
0	18	21940
0	19	18907
0	20	13807
0	21	10593
0	22	8172
0	23	5644
1	0	3299
1	1	1887
1	2	1047
1	3	541
1	4	433
1	5	1379
1	6	6184
1	7	17535
1	8	30546
1	9	17939
1	10	10435
1	11	12004
1	12	15389
1	13	15624
1	14	14647
1	15	14733
1	16	20843
1	17	38662
1	18	39247
1	19	28146
1	20	19929
1	21	14471
1	22	10523
1	23	5635
2	0	2346
2	1	1082
2	2	661
2	3	362
2	4	411
2	5	1569
2	6	7568
2	7	21648
2	8	35578
2	9	19272
2	10	9693
2	11	9807
2	12	12900
2	13	13230
2	14	12458
2	15	13792
2	16	19921
2	17	39853
2	18	41126
2	19	28058
2	20	20356
2	21	15535
2	22	11305
2	23	6166
3	0	2738
3	1	1156
3	2	566
3	3	378
3	4	335
3	5	1523
3	6	7159
3	7	19709
3	8	34985
3	9	19499
3	10	9313
3	11	10111
3	12	13303
3	13	12844
3	14	11714
3	15	11928
3	16	18131
3	17	36671
3	18	36534
3	19	26383
3	20	18536
3	21	13766
3	22	10543
3	23	6486
4	0	3180
4	1	1461
4	2	753
4	3	450
4	4	392
4	5	1581
4	6	7173
4	7	19591
4	8	34757
4	9	19711
4	10	9597
4	11	10711
4	12	13863
4	13	13757
4	14	12546
4	15	13010
4	16	18936
4	17	35939
4	18	36247
4	19	25903
4	20	19825
4	21	14914
4	22	11551
4	23	7606
5	0	4287
5	1	2024
5	2	1217
5	3	534
5	4	429
5	5	1555
5	6	6149
5	7	17131
5	8	33714
5	9	21364
5	10	11341
5	11	12783
5	12	16677
5	13	17019
5	14	16233
5	15	17720
5	16	23430
5	17	36390
5	18	32807
5	19	23071
5	20	16294
5	21	13158
5	22	11514
5	23	9345
6	0	7442
6	1	5448
6	2	4268
6	3	2134
6	4	657
6	5	641
6	6	1380
6	7	2999
6	8	7388
6	9	12050
6	10	17287
6	11	21600
6	12	25534
6	13	26124
6	14	26224
6	15	27258
6	16	27102
6	17	25584
6	18	23215
6	19	19541
6	20	14595
6	21	12256
6	22	10981
6	23	9211
